commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),196.82857142857145,49.4,548.2,135.4,15.0,32.2,290.2,307.4
Function inline pass (#7),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
RemoveUnusedPass (#10),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Arithmetic pass (#8),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Add SimplifyCFGPass (#9),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Support compiler options (#17),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Fix wrong return value (#35),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Fix RemoveUnusedPass bug (#31),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Function inline pass bug fix (#20),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Automate testing benchmarks (#23),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Add GVNPass (#25),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Phierasepass (#27),193.82857142857145,46.4,545.2,132.4,12.0,29.2,287.2,304.4
Add BranchPredictPass (#29),165.11428571428573,43.4,455.2,114.4,15.0,29.2,242.2,256.4
Implement basic LoopVectorizePass (#32),165.11428571428573,43.4,455.2,114.4,15.0,29.2,242.2,256.4
Update skeleton code (6/1),165.11428571428573,43.4,455.2,114.4,15.0,29.2,242.2,256.4
Fix CI & compiler option (#42),165.11428571428573,43.4,455.2,114.4,15.0,29.2,242.2,256.4
Fix PhierasePass Bug (#47),165.11428571428573,43.4,455.2,114.4,15.0,29.2,242.2,256.4
Implement LoopUnrollPass (#49),176.11428571428573,45.4,486.2,121.4,18.0,30.2,258.2,273.4
Supplement LoopVectorizePass (#48),176.11428571428573,45.4,486.2,121.4,18.0,30.2,258.2,273.4
