commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),452951016.07425,316.6,7048.0,407060.8,25590855.999,97430152.0141,778108232.5609,2624634310.6059,97430152.0141
Function inline pass (#7),448679028.3723375,286.0,6886.8,402238.8,25337854.7988,96488730.017,770743410.507,2599964090.0389,96488730.017
RemoveUnusedPass (#10),448679028.3723375,286.0,6886.8,402238.8,25337854.7988,96488730.017,770743410.507,2599964090.0389,96488730.017
Arithmetic pass (#8),448679028.3723375,286.0,6886.8,402238.8,25337854.7988,96488730.017,770743410.507,2599964090.0389,96488730.017
Add SimplifyCFGPass (#9),448659733.2475125,286.0,6871.8,401983.8,25333759.7988,96478731.017,770703411.5069,2599874091.0404,96478731.017
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,448659733.2475125,286.0,6871.8,401983.8,25333759.7988,96478731.017,770703411.5069,2599874091.0404,96478731.017
Support compiler options (#17),448659733.2475125,286.0,6871.8,401983.8,25333759.7988,96478731.017,770703411.5069,2599874091.0404,96478731.017
Fix wrong return value (#35),448659733.2475125,286.0,6871.8,401983.8,25333759.7988,96478731.017,770703411.5069,2599874091.0404,96478731.017
Automate testing benchmarks (#23),448659733.2475125,286.0,6871.8,401983.8,25333759.7988,96478731.017,770703411.5069,2599874091.0404,96478731.017
Add GVNPass (#25),444465340.3763875,281.0,6808.6,398267.8,25097416.5991,95577727.0134,763499407.3511,2575565087.6341,95577727.0134
Add BranchPredictPass (#29),430316823.00764996,281.0,6484.6,383687.8,24274132.5991,92487739.0129,739139419.2805,2493755100.7558,92487739.0129
